name,team_name,game_date,season,espn_player_id,team_id,espn_game_id,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_type,shot_distance,opponent,x,y,dribbles,touch_time,defender_name,defender_distance,shot_clock
"LeBron James","Cleveland Cavaliers",2018-02-25,2017,1966,1610612739,400975640,4,6,57,0,"Driving Layup Shot","2PT Field Goal",4,"San Antonio Spurs",41,26,0,0.00,,0.00,0.00
"Russell Westbrook","Oklahoma City Thunder",2017-10-19,2017,3468,1610612760,400974441,1,8,41,0,"Driving Layup Shot","2PT Field Goal",1,"New York Knicks",-4,14,0,0.00,,0.00,0.00
"Russell Westbrook","Oklahoma City Thunder",2018-03-16,2017,3468,1610612760,400975778,1,9,32,0,"Driving Layup Shot","2PT Field Goal",0,"Los Angeles Clippers",0,3,0,0.00,,0.00,0.00
"Al Horford","Boston Celtics",2018-03-16,2017,3213,1610612738,400975775,2,3,05,1,"Driving Layup Shot","2PT Field Goal",3,"Orlando Magic",24,22,0,0.00,,0.00,0.00
"Russell Westbrook","Oklahoma City Thunder",2017-10-19,2017,3468,1610612760,400974441,3,7,33,0,"Driving Layup Shot","2PT Field Goal",1,"New York Knicks",13,10,0,0.00,,0.00,0.00
"Damian Lillard","Portland Trail Blazers",2017-12-02,2017,6606,1610612757,400975084,4,8,04,1,"Driving Layup Shot","2PT Field Goal",0,"New Orleans Pelicans",-3,8,0,0.00,,0.00,0.00
"Russell Westbrook","Oklahoma City Thunder",2017-10-19,2017,3468,1610612760,400974441,1,4,31,1,"Driving Layup Shot","2PT Field Goal",1,"New York Knicks",-4,11,0,0.00,,0.00,0.00
"Stephen Curry","Golden State Warriors",2018-03-02,2017,3975,1610612744,400975674,2,3,27,1,"Driving Layup Shot","2PT Field Goal",1,"Atlanta Hawks",6,12,0,0.00,,0.00,0.00
"Blake Griffin","LA Clippers",2017-10-19,2017,3989,1610612746,400974442,3,7,48,1,"Driving Layup Shot","2PT Field Goal",3,"Los Angeles Lakers",-13,29,0,0.00,,0.00,0.00
"Damian Lillard","Portland Trail Blazers",2018-02-24,2017,6606,1610612757,400975635,4,0,54,0,"Driving Layup Shot","2PT Field Goal",3,"Phoenix Suns",16,31,0,0.00,,0.00,0.00
"James Harden","Houston Rockets",2018-04-03,2017,3992,1610612745,400975907,1,11,03,1,"Driving Layup Shot","2PT Field Goal",2,"Washington Wizards",9,18,0,0.00,,0.00,0.00
"Russell Westbrook","Oklahoma City Thunder",2017-10-27,2017,3468,1610612760,400974825,2,2,22,0,"Driving Layup Shot","2PT Field Goal",1,"Minnesota Timberwolves",-6,12,0,0.00,,0.00,0.00
"Russell Westbrook","Oklahoma City Thunder",2017-10-19,2017,3468,1610612760,400974441,1,2,47,1,"Driving Layup Shot","2PT Field Goal",1,"New York Knicks",-6,13,0,0.00,,0.00,0.00
"James Harden","Houston Rockets",2017-10-17,2017,3992,1610612745,400974438,4,1,32,1,"Driving Layup Shot","2PT Field Goal",1,"Golden State Warriors",-9,11,0,0.00,,0.00,0.00
"Kyle Lowry","Toronto Raptors",2018-03-18,2017,3012,1610612761,400975792,3,10,20,1,"Driving Layup Shot","2PT Field Goal",1,"Oklahoma City Thunder",9,6,0,0.00,,0.00,0.00
"Russell Westbrook","Oklahoma City Thunder",2017-10-19,2017,3468,1610612760,400974441,1,3,20,0,"Driving Layup Shot","2PT Field Goal",1,"New York Knicks",14,13,0,0.00,,0.00,0.00
"Carmelo Anthony","Oklahoma City Thunder",2018-01-20,2017,1975,1610612760,400975420,2,5,35,0,"Driving Layup Shot","2PT Field Goal",2,"Cleveland Cavaliers",12,20,0,0.00,,0.00,0.00
"James Harden","Houston Rockets",2017-10-17,2017,3992,1610612745,400974438,3,6,18,1,"Driving Layup Shot","2PT Field Goal",1,"Golden State Warriors",-7,18,0,0.00,,0.00,0.00
"Russell Westbrook","Oklahoma City Thunder",2017-10-19,2017,3468,1610612760,400974441,2,2,28,0,"Driving Layup Shot","2PT Field Goal",1,"New York Knicks",2,13,0,0.00,,0.00,0.00
"Damian Lillard","Portland Trail Blazers",2018-03-17,2017,6606,1610612757,400975791,4,5,04,0,"Driving Layup Shot","2PT Field Goal",2,"Detroit Pistons",-19,16,0,0.00,,0.00,0.00
"Paul George","Oklahoma City Thunder",2018-02-08,2017,4251,1610612760,400975562,1,9,16,1,"Driving Layup Shot","2PT Field Goal",1,"Los Angeles Lakers",16,11,0,0.00,,0.00,0.00
"Carmelo Anthony","Oklahoma City Thunder",2018-01-17,2017,1975,1610612760,400975406,3,3,17,1,"Driving Layup Shot","2PT Field Goal",0,"Los Angeles Lakers",2,-3,0,0.00,,0.00,0.00
"John Wall","Washington Wizards",2017-12-27,2017,4237,1610612764,400975254,1,3,22,1,"Driving Layup Shot","2PT Field Goal",0,"Atlanta Hawks",4,7,0,0.00,,0.00,0.00
"Paul George","Oklahoma City Thunder",2018-04-11,2017,4251,1610612760,400975973,1,9,57,1,"Driving Layup Shot","2PT Field Goal",1,"Memphis Grizzlies",-14,-7,0,0.00,,0.00,0.00
"Anthony Davis","New Orleans Pelicans",2018-01-17,2017,6583,1610612740,400975400,1,9,32,1,"Driving Layup Shot","2PT Field Goal",2,"Atlanta Hawks",-9,28,0,0.00,,0.00,0.00
"James Harden","Houston Rockets",2017-10-17,2017,3992,1610612745,400974438,1,11,47,1,"Driving Layup Shot","2PT Field Goal",1,"Golden State Warriors",-10,16,0,0.00,,0.00,0.00
"Blake Griffin","LA Clippers",2017-10-19,2017,3989,1610612746,400974442,2,3,50,1,"Driving Layup Shot","2PT Field Goal",2,"Los Angeles Lakers",-12,20,0,0.00,,0.00,0.00
"Russell Westbrook","Oklahoma City Thunder",2017-10-21,2017,3468,1610612760,400974787,1,3,16,0,"Driving Layup Shot","2PT Field Goal",3,"Utah Jazz",18,27,0,0.00,,0.00,0.00
"James Harden","Houston Rockets",2017-12-20,2017,3992,1610612745,400975210,1,6,03,1,"Driving Layup Shot","2PT Field Goal",1,"Los Angeles Lakers",-13,4,0,0.00,,0.00,0.00
"KarlAnthony Towns","Minnesota Timberwolves",2017-12-20,2017,3136195,1610612750,400975213,4,8,19,1,"Driving Layup Shot","2PT Field Goal",2,"Denver Nuggets",-20,13,0,0.00,,0.00,0.00
"LeBron James","Cleveland Cavaliers",2017-10-21,2017,1966,1610612739,400974779,1,0,48,1,"Driving Layup Shot","2PT Field Goal",1,"Orlando Magic",2,16,0,0.00,,0.00,0.00
"Damian Lillard","Portland Trail Blazers",2018-04-03,2017,6606,1610612757,400975910,1,2,25,0,"Driving Layup Shot","2PT Field Goal",9,"Dallas Mavericks",91,16,0,0.00,,0.00,0.00
"LeBron James","Cleveland Cavaliers",2018-03-17,2017,1966,1610612739,400975785,1,9,06,1,"Driving Layup Shot","2PT Field Goal",1,"Chicago Bulls",-6,12,0,0.00,,0.00,0.00
"Damian Lillard","Portland Trail Blazers",2017-12-20,2017,6606,1610612757,400975214,2,2,44,1,"Driving Layup Shot","2PT Field Goal",1,"San Antonio Spurs",0,15,0,0.00,,0.00,0.00
"Russell Westbrook","Oklahoma City Thunder",2017-12-07,2017,3468,1610612760,400975116,2,4,14,1,"Driving Layup Shot","2PT Field Goal",1,"Brooklyn Nets",-13,-5,0,0.00,,0.00,0.00
"James Harden","Houston Rockets",2017-12-28,2017,3992,1610612745,400975263,4,1,34,0,"Driving Layup Shot","2PT Field Goal",3,"Boston Celtics",9,34,0,0.00,,0.00,0.00
"Kyle Lowry","Toronto Raptors",2017-10-21,2017,3012,1610612761,400974778,2,2,06,1,"Driving Layup Shot","2PT Field Goal",2,"Philadelphia 76ers",15,17,0,0.00,,0.00,0.00
"Marc Gasol","Memphis Grizzlies",2018-01-24,2017,3206,1610612763,400975453,1,5,07,1,"Driving Layup Shot","2PT Field Goal",6,"San Antonio Spurs",-28,55,0,0.00,,0.00,0.00
"Paul Millsap","Denver Nuggets",2018-03-17,2017,3015,1610612743,400975786,2,3,49,0,"Driving Layup Shot","2PT Field Goal",0,"Memphis Grizzlies",-5,4,0,0.00,,0.00,0.00
"James Harden","Houston Rockets",2018-04-03,2017,3992,1610612745,400975907,2,1,33,1,"Driving Layup Shot","2PT Field Goal",1,"Washington Wizards",-14,10,0,0.00,,0.00,0.00
"James Harden","Houston Rockets",2017-10-17,2017,3992,1610612745,400974438,1,5,01,1,"Driving Layup Shot","2PT Field Goal",2,"Golden State Warriors",-25,10,0,0.00,,0.00,0.00
"Russell Westbrook","Oklahoma City Thunder",2018-04-07,2017,3468,1610612760,400975940,1,11,20,1,"Driving Layup Shot","2PT Field Goal",0,"Houston Rockets",1,8,0,0.00,,0.00,0.00
"Kyle Lowry","Toronto Raptors",2018-01-17,2017,3012,1610612761,400975402,3,8,33,1,"Driving Layup Shot","2PT Field Goal",1,"Detroit Pistons",-14,9,0,0.00,,0.00,0.00
"James Harden","Houston Rockets",2017-12-28,2017,3992,1610612745,400975263,3,10,00,0,"Driving Layup Shot","2PT Field Goal",1,"Boston Celtics",-6,8,0,0.00,,0.00,0.00
"Damian Lillard","Portland Trail Blazers",2018-03-17,2017,6606,1610612757,400975791,4,6,20,0,"Driving Layup Shot","2PT Field Goal",2,"Detroit Pistons",17,14,0,0.00,,0.00,0.00
"James Harden","Houston Rockets",2017-12-20,2017,3992,1610612745,400975210,2,5,15,1,"Driving Layup Shot","2PT Field Goal",1,"Los Angeles Lakers",-11,11,0,0.00,,0.00,0.00
"DeAndre Jordan","LA Clippers",2018-04-07,2017,3442,1610612746,400975937,1,3,52,0,"Driving Layup Shot","2PT Field Goal",3,"Denver Nuggets",0,30,0,0.00,,0.00,0.00
"LeBron James","Cleveland Cavaliers",2018-03-19,2017,1966,1610612739,400975796,1,2,42,1,"Driving Layup Shot","2PT Field Goal",0,"Milwaukee Bucks",-1,5,0,0.00,,0.00,0.00
"James Harden","Houston Rockets",2018-04-03,2017,3992,1610612745,400975907,1,2,10,0,"Driving Layup Shot","2PT Field Goal",1,"Washington Wizards",-7,10,0,0.00,,0.00,0.00
"James Harden","Houston Rockets",2018-03-18,2017,3992,1610612745,400975794,3,5,58,1,"Driving Layup Shot","2PT Field Goal",3,"Minnesota Timberwolves",0,30,0,0.00,,0.00,0.00
"Damian Lillard","Portland Trail Blazers",2017-10-21,2017,6606,1610612757,400974785,4,11,25,0,"Driving Layup Shot","2PT Field Goal",4,"Milwaukee Bucks",25,42,0,0.00,,0.00,0.00
"Carmelo Anthony","Oklahoma City Thunder",2017-11-24,2017,1975,1610612760,400975024,1,5,47,1,"Driving Layup Shot","2PT Field Goal",1,"Detroit Pistons",0,15,0,0.00,,0.00,0.00
"Russell Westbrook","Oklahoma City Thunder",2017-11-24,2017,3468,1610612760,400975024,1,5,18,1,"Driving Layup Shot","2PT Field Goal",0,"Detroit Pistons",7,4,0,0.00,,0.00,0.00
"LeBron James","Cleveland Cavaliers",2018-03-17,2017,1966,1610612739,400975785,1,10,38,0,"Driving Layup Shot","2PT Field Goal",1,"Chicago Bulls",-7,17,0,0.00,,0.00,0.00
"Stephen Curry","Golden State Warriors",2017-10-17,2017,3975,1610612744,400974438,4,3,50,1,"Driving Layup Shot","2PT Field Goal",2,"Houston Rockets",7,20,0,0.00,,0.00,0.00
"Chris Paul","Houston Rockets",2018-03-17,2017,2779,1610612745,400975782,3,0,00,0,"Driving Layup Shot","2PT Field Goal",3,"New Orleans Pelicans",32,-4,0,0.00,,0.00,0.00
"John Wall","Washington Wizards",2017-12-17,2017,4237,1610612764,400975191,4,4,29,0,"Driving Layup Shot","2PT Field Goal",1,"Cleveland Cavaliers",11,14,0,0.00,,0.00,0.00
"Blake Griffin","LA Clippers",2018-01-24,2017,3989,1610612746,400975455,4,4,07,1,"Driving Layup Shot","2PT Field Goal",2,"Boston Celtics",-19,9,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2017-12-08,2017,3202,1610612744,400975119,4,3,35,1,"Driving Layup Shot","2PT Field Goal",3,"Detroit Pistons",-23,29,0,0.00,,0.00,0.00
"Russell Westbrook","Oklahoma City Thunder",2018-04-07,2017,3468,1610612760,400975940,2,0,00,0,"Driving Layup Shot","2PT Field Goal",1,"Houston Rockets",3,19,0,0.00,,0.00,0.00
"Damian Lillard","Portland Trail Blazers",2018-01-20,2017,6606,1610612757,400975428,3,0,41,0,"Driving Layup Shot","2PT Field Goal",6,"Dallas Mavericks",-8,63,0,0.00,,0.00,0.00
"Russell Westbrook","Oklahoma City Thunder",2018-01-17,2017,3468,1610612760,400975406,3,5,13,0,"Driving Layup Shot","2PT Field Goal",0,"Los Angeles Lakers",-6,-3,0,0.00,,0.00,0.00
"LeBron James","Cleveland Cavaliers",2018-01-20,2017,1966,1610612739,400975420,3,4,18,1,"Driving Layup Shot","2PT Field Goal",0,"Oklahoma City Thunder",-2,4,0,0.00,,0.00,0.00
"Russell Westbrook","Oklahoma City Thunder",2018-01-17,2017,3468,1610612760,400975406,1,9,45,0,"Driving Layup Shot","2PT Field Goal",1,"Los Angeles Lakers",-10,0,0,0.00,,0.00,0.00
"John Wall","Washington Wizards",2017-12-17,2017,4237,1610612764,400975191,1,10,22,1,"Driving Layup Shot","2PT Field Goal",1,"Cleveland Cavaliers",-9,8,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2017-12-03,2017,3202,1610612744,400975086,2,1,15,0,"Driving Layup Shot","2PT Field Goal",2,"Miami Heat",0,20,0,0.00,,0.00,0.00
"John Wall","Washington Wizards",2017-12-17,2017,4237,1610612764,400975191,2,4,05,0,"Driving Layup Shot","2PT Field Goal",0,"Cleveland Cavaliers",-3,1,0,0.00,,0.00,0.00
"James Harden","Houston Rockets",2017-12-03,2017,3992,1610612745,400975089,2,4,10,1,"Driving Layup Shot","2PT Field Goal",3,"Los Angeles Lakers",-23,27,0,0.00,,0.00,0.00
"Blake Griffin","LA Clippers",2017-10-21,2017,3989,1610612746,400974788,1,5,20,0,"Driving Layup Shot","2PT Field Goal",3,"Phoenix Suns",-5,34,0,0.00,,0.00,0.00
"Blake Griffin","Detroit Pistons",2018-03-17,2017,3989,1610612765,400975791,3,8,36,1,"Driving Layup Shot","2PT Field Goal",0,"Portland Trail Blazers",6,1,0,0.00,,0.00,0.00
"John Wall","Washington Wizards",2018-01-17,2017,4237,1610612764,400975399,2,6,11,1,"Driving Layup Shot","2PT Field Goal",1,"Charlotte Hornets",12,10,0,0.00,,0.00,0.00
"DeMarcus Cousins","New Orleans Pelicans",2018-01-17,2017,4258,1610612740,400975400,1,10,54,0,"Driving Layup Shot","2PT Field Goal",2,"Atlanta Hawks",5,26,0,0.00,,0.00,0.00
"Stephen Curry","Golden State Warriors",2017-10-17,2017,3975,1610612744,400974438,4,4,14,1,"Driving Layup Shot","2PT Field Goal",2,"Houston Rockets",1,22,0,0.00,,0.00,0.00
"Damian Lillard","Portland Trail Blazers",2017-12-20,2017,6606,1610612757,400975214,1,4,01,0,"Driving Layup Shot","2PT Field Goal",1,"San Antonio Spurs",11,6,0,0.00,,0.00,0.00
"Damian Lillard","Portland Trail Blazers",2017-12-20,2017,6606,1610612757,400975214,3,10,11,0,"Driving Layup Shot","2PT Field Goal",2,"San Antonio Spurs",-20,15,0,0.00,,0.00,0.00
"Damian Lillard","Portland Trail Blazers",2017-12-20,2017,6606,1610612757,400975214,2,5,53,0,"Driving Layup Shot","2PT Field Goal",2,"San Antonio Spurs",1,25,0,0.00,,0.00,0.00
"John Wall","Washington Wizards",2017-12-17,2017,4237,1610612764,400975191,1,6,27,0,"Driving Layup Shot","2PT Field Goal",0,"Cleveland Cavaliers",6,1,0,0.00,,0.00,0.00
"LeBron James","Cleveland Cavaliers",2017-10-21,2017,1966,1610612739,400974779,1,5,16,1,"Driving Layup Shot","2PT Field Goal",1,"Orlando Magic",4,15,0,0.00,,0.00,0.00
"James Harden","Houston Rockets",2017-12-28,2017,3992,1610612745,400975263,4,3,36,0,"Driving Layup Shot","2PT Field Goal",2,"Boston Celtics",-19,17,0,0.00,,0.00,0.00
"James Harden","Houston Rockets",2017-12-28,2017,3992,1610612745,400975263,3,2,20,0,"Driving Layup Shot","2PT Field Goal",1,"Boston Celtics",-11,11,0,0.00,,0.00,0.00
"Jimmy Butler","Minnesota Timberwolves",2017-12-20,2017,6430,1610612750,400975213,4,3,25,0,"Driving Layup Shot","2PT Field Goal",4,"Denver Nuggets",-19,37,0,0.00,,0.00,0.00
"John Wall","Washington Wizards",2017-12-17,2017,4237,1610612764,400975191,2,0,53,1,"Driving Layup Shot","2PT Field Goal",1,"Cleveland Cavaliers",3,12,0,0.00,,0.00,0.00
"James Harden","Houston Rockets",2018-03-17,2017,3992,1610612745,400975782,4,9,47,0,"Driving Layup Shot","2PT Field Goal",3,"New Orleans Pelicans",-27,16,0,0.00,,0.00,0.00
"Russell Westbrook","Oklahoma City Thunder",2018-01-17,2017,3468,1610612760,400975406,3,2,50,1,"Driving Layup Shot","2PT Field Goal",0,"Los Angeles Lakers",4,7,0,0.00,,0.00,0.00
"Jimmy Butler","Minnesota Timberwolves",2018-01-18,2017,6430,1610612750,400975411,4,10,29,0,"Driving Layup Shot","2PT Field Goal",3,"Houston Rockets",27,22,0,0.00,,0.00,0.00
"Kyle Lowry","Toronto Raptors",2017-10-27,2017,3012,1610612761,400974827,3,9,52,0,"Driving Layup Shot","2PT Field Goal",1,"Los Angeles Lakers",-11,16,0,0.00,,0.00,0.00
"Kyrie Irving","Boston Celtics",2017-10-17,2017,6442,1610612738,400974437,1,8,34,0,"Driving Layup Shot","2PT Field Goal",3,"Cleveland Cavaliers",-7,31,0,0.00,,0.00,0.00
"John Wall","Washington Wizards",2018-01-19,2017,4237,1610612764,400975415,2,0,55,0,"Driving Layup Shot","2PT Field Goal",3,"Detroit Pistons",25,31,0,0.00,,0.00,0.00
"LeBron James","Cleveland Cavaliers",2018-02-27,2017,1966,1610612739,400975654,3,5,56,0,"Driving Layup Shot","2PT Field Goal",8,"Brooklyn Nets",-63,50,0,0.00,,0.00,0.00
"Draymond Green","Golden State Warriors",2018-03-17,2017,6589,1610612744,400975790,3,8,04,0,"Driving Layup Shot","2PT Field Goal",1,"Phoenix Suns",-1,11,0,0.00,,0.00,0.00
"Damian Lillard","Portland Trail Blazers",2018-02-08,2017,6606,1610612757,400975560,1,1,36,0,"Driving Layup Shot","2PT Field Goal",1,"Charlotte Hornets",-18,6,0,0.00,,0.00,0.00
"James Harden","Houston Rockets",2017-10-17,2017,3992,1610612745,400974438,2,2,50,1,"Driving Layup Shot","2PT Field Goal",1,"Golden State Warriors",-8,16,0,0.00,,0.00,0.00
"KarlAnthony Towns","Minnesota Timberwolves",2018-02-03,2017,3136195,1610612750,400975526,4,1,16,0,"Driving Layup Shot","2PT Field Goal",3,"New Orleans Pelicans",-2,36,0,0.00,,0.00,0.00
"Russell Westbrook","Oklahoma City Thunder",2018-01-30,2017,3468,1610612760,400975490,4,6,27,0,"Driving Layup Shot","2PT Field Goal",3,"Washington Wizards",5,34,0,0.00,,0.00,0.00
"Carmelo Anthony","Oklahoma City Thunder",2018-01-17,2017,1975,1610612760,400975406,1,9,33,1,"Driving Layup Shot","2PT Field Goal",0,"Los Angeles Lakers",8,5,0,0.00,,0.00,0.00
"LeBron James","Cleveland Cavaliers",2018-01-18,2017,1966,1610612739,400975410,1,2,40,1,"Driving Layup Shot","2PT Field Goal",1,"Orlando Magic",-11,10,0,0.00,,0.00,0.00
"Damian Lillard","Portland Trail Blazers",2017-12-20,2017,6606,1610612757,400975214,1,2,01,1,"Driving Layup Shot","2PT Field Goal",1,"San Antonio Spurs",9,11,0,0.00,,0.00,0.00
"Kyrie Irving","Boston Celtics",2017-12-20,2017,6442,1610612738,400975207,4,4,29,0,"Driving Layup Shot","2PT Field Goal",4,"Miami Heat",-25,32,0,0.00,,0.00,0.00
"KarlAnthony Towns","Minnesota Timberwolves",2018-01-18,2017,3136195,1610612750,400975411,3,11,37,0,"Driving Layup Shot","2PT Field Goal",4,"Houston Rockets",-35,22,0,0.00,,0.00,0.00
"Al Horford","Boston Celtics",2017-12-20,2017,3213,1610612738,400975207,1,11,06,0,"Driving Layup Shot","2PT Field Goal",1,"Miami Heat",-5,11,0,0.00,,0.00,0.00
"Jimmy Butler","Minnesota Timberwolves",2018-01-18,2017,6430,1610612750,400975411,3,6,38,1,"Driving Layup Shot","2PT Field Goal",0,"Houston Rockets",9,1,0,0.00,,0.00,0.00
"Russell Westbrook","Oklahoma City Thunder",2018-03-20,2017,3468,1610612760,400975805,1,5,52,0,"Driving Layup Shot","2PT Field Goal",6,"Boston Celtics",25,64,0,0.00,,0.00,0.00
"Kyrie Irving","Boston Celtics",2017-12-28,2017,6442,1610612738,400975263,2,8,06,1,"Driving Layup Shot","2PT Field Goal",8,"Houston Rockets",-62,53,0,0.00,,0.00,0.00
"DeMarcus Cousins","New Orleans Pelicans",2017-12-02,2017,4258,1610612740,400975084,3,7,43,1,"Driving Layup Shot","2PT Field Goal",1,"Portland Trail Blazers",-12,-5,0,0.00,,0.00,0.00
"Carmelo Anthony","Oklahoma City Thunder",2017-10-21,2017,1975,1610612760,400974787,4,9,21,1,"Driving Layup Shot","2PT Field Goal",3,"Utah Jazz",-23,25,0,0.00,,0.00,0.00
"Kyrie Irving","Boston Celtics",2017-10-17,2017,6442,1610612738,400974437,2,2,46,0,"Driving Layup Shot","2PT Field Goal",1,"Cleveland Cavaliers",2,16,0,0.00,,0.00,0.00
